Freq,Name,X_Sq
60,stori,21.4
71,book,18.70304014563572
51,fool,18.189999999999998
51,april,18.189999999999998
49,venturebeat,17.476666666666667
83,googl,17.331851544107465
38,real,13.553333333333333
46,zuckerberg,12.65220716172526
52,facebook,12.43049712192569
49,inform,12.420877316443818
33,social,11.770000000000001
38,well,11.689449485783426
33,list,11.436262626262629
64,search,11.381411637931034
35,alto,10.658260447035959
35,restaur,10.658260447035959
35,sign,10.658260447035959
35,palo,10.658260447035959
29,joke,10.343333333333334
34,mobil,10.278796484110885
40,mark,9.64421768707483
38,trade,9.003387039026135
25,technolog,8.916666666666664
25,tabl,8.916666666666664
25,sometim,8.916666666666664
30,million,8.904081632653064
21,appear,7.489999999999999
21,patron,7.489999999999999
21,back,7.489999999999999
21,tuesday,7.489999999999999
21,california,7.489999999999999
21,told,7.489999999999999
21,avenu,7.489999999999999
21,paper,7.489999999999999
25,rais,7.161564625850339
20,webbas,7.133333333333334
20,rather,7.133333333333334
20,smartphon,7.133333333333334
20,take,7.133333333333334
20,simpli,7.133333333333334
20,advantag,7.133333333333334
20,realli,7.133333333333334
20,transfer,7.133333333333334
20,phone,7.133333333333334
20,creat,7.133333333333334
20,nativ,7.133333333333334
20,experi,7.133333333333334
20,goal,7.133333333333334
25,even,7.123563218390804
24,might,6.815102040816326
28,insid,6.390054622834357
37,microsoft,6.305001553277414
26,deal,6.215248560962845
26,purchas,6.215248560962845
26,market,6.215248560962845
26,secondari,6.215248560962845
26,share,6.215248560962845
17,outlet,6.063333333333333
17,took,6.063333333333333
17,seem,6.063333333333333
17,post,6.063333333333333
17,opportun,6.063333333333333
17,media,6.063333333333333
17,remot,6.063333333333333
17,plausibl,6.063333333333333
27,compani,6.048328250840567
22,team,5.9578369905956094
19,think,5.882631578947368
19,live,5.882631578947368
19,came,5.882631578947368
19,levi,5.882631578947368
19,shape,5.882631578947368
19,work,5.882631578947368
19,plex,5.882631578947368
19,stephen,5.882631578947368
19,light,5.882631578947368
19,journalist,5.882631578947368
25,billion,5.368461177574479
27,polit,5.083567475521498
27,schmidt,5.083567475521498
14,staff,4.993333333333334
14,today,4.993333333333334
14,prank,4.993333333333334
14,turn,4.993333333333334
14,agre,4.993333333333334
13,round,4.636666666666666
13,fund,4.636666666666666
13,sequoia,4.636666666666666
13,right,4.636666666666666
13,color,4.636666666666666
13,photo,4.636666666666666
13,first,4.636666666666666
13,capit,4.636666666666666
11,five,3.923333333333333
11,wish,3.923333333333333
10,funnier,3.566666666666667
14,mexican,3.4306511175898935
9,copyright,3.21
15,like,3.1226053639846736
15,accord,3.1226053639846736
15,prevent,3.1226053639846736
15,servic,3.1226053639846736
15,remov,3.1226053639846736
15,fulli,3.1226053639846736
15,index,3.1226053639846736
15,result,3.1226053639846736
15,youtub,3.1226053639846736
15,donat,3.1226053639846736
15,particular,3.1226053639846736
15,engin,3.1226053639846736
15,businessinsid,3.1226053639846736
13,corpor,3.1076242804814225
13,consid,3.1076242804814225
13,brown,3.1076242804814225
13,develop,3.1076242804814225
13,fire,3.1076242804814225
13,termin,3.1076242804814225
13,michael,3.1076242804814225
13,employe,3.1076242804814225
8,tough,2.8533333333333335
8,figur,2.8533333333333335
12,relat,2.7902040816326528
12,techcrunch,2.7902040816326528
12,sach,2.7902040816326528
12,report,2.7902040816326528
12,goldman,2.7902040816326528
14,undermin,2.733743842364532
14,advertis,2.733743842364532
14,softwar,2.733743842364532
14,android,2.733743842364532
14,competit,2.733743842364532
14,come,2.733743842364532
14,onlin,2.733743842364532
14,claim,2.733743842364532
7,allstar,2.496666666666667
7,money,2.496666666666667
7,okay,2.496666666666667
12,eric,1.9782567049808426
12,former,1.9782567049808426
12,contribut,1.9782567049808426
12,hide,1.9782567049808426
5,independ,1.7833333333333334
5,worth,1.7833333333333334
5,blog,1.7833333333333334
11,point,1.615673981191222
11,overheard,1.615673981191222
4,reserv,1.4266666666666667
4,actual,1.4266666666666667
8,complaint,0.6340517241379309
8,antitrust,0.6340517241379309
8,file,0.6340517241379309
8,giant,0.6340517241379309
